# N OptimalAnswer HeuristicAnswer Diff(%) OptimalTime(ms) HeuristicTime(ms)
1 1705 4330 153.96 19.10 0.14
2 1908 3475 82.13 16.39 0.14
3 2168 4767 119.88 16.25 0.15
4 1656 4065 145.47 16.56 0.14
5 2515 6079 141.71 15.58 0.14
6 2327 3405 46.33 16.24 0.14
7 2085 4521 116.83 16.06 0.15
8 1956 4091 109.15 16.65 0.15
9 2123 4207 98.16 16.50 0.15
10 2650 4849 82.98 17.20 0.15
11 504 2718 439.29 285.19 0.16
12 338 2292 578.11 306.41 0.16
13 828 2797 237.80 289.61 0.16
14 684 4104 500.00 300.24 0.16
15 795 2316 191.32 306.63 0.16
16 659 2272 244.76 298.72 0.16
17 754 3192 323.34 293.94 0.15
18 788 3524 347.21 298.07 0.16
19 695 2140 207.91 307.88 0.17
20 517 1702 229.21 301.94 0.16
